"","CAZ","CAZyme","n"
"1","Auxiliary activities (AAs)","AA1",1
"2","Auxiliary activities (AAs)","AA2",2
"3","Auxiliary activities (AAs)","AA3",2
"4","Auxiliary activities (AAs)","AA5",2
"5","Carbohydrate esterases (CEs)","CE1",2
"6","Carbohydrate esterases (CEs)","CE10",7
"7","Carbohydrate esterases (CEs)","CE4",4
"8","Carbohydrate-binding modules (CBMs)","CBM21",1
"9","Carbohydrate-binding modules (CBMs)","CBM50",1
"10","Glycoside hydrolases (GHs)","GH13",1
"11","Glycoside hydrolases (GHs)","GH15",1
"12","Glycoside hydrolases (GHs)","GH16",2
"13","Glycoside hydrolases (GHs)","GH17",2
"14","Glycoside hydrolases (GHs)","GH18",2
"15","Glycoside hydrolases (GHs)","GH3",1
"16","Glycoside hydrolases (GHs)","GH31",2
"17","Glycoside hydrolases (GHs)","GH35",1
"18","Glycoside hydrolases (GHs)","GH37",1
"19","Glycoside hydrolases (GHs)","GH46",1
"20","Glycoside hydrolases (GHs)","GH47",4
"21","Glycoside hydrolases (GHs)","GH5",4
"22","Glycoside hydrolases (GHs)","GH79",4
"23","Glycosyltransferases (GTs)","GT10",1
"24","Glycosyltransferases (GTs)","GT12",1
"25","Glycosyltransferases (GTs)","GT14",1
"26","Glycosyltransferases (GTs)","GT15",3
"27","Glycosyltransferases (GTs)","GT20",3
"28","Glycosyltransferases (GTs)","GT22",3
"29","Glycosyltransferases (GTs)","GT25",3
"30","Glycosyltransferases (GTs)","GT2_Chitin_synth",8
"31","Glycosyltransferases (GTs)","GT2_Glyco_tranf_2",3
"32","Glycosyltransferases (GTs)","GT2_Glyco_tranf_2;GT2_Glycos_transf",2
"33","Glycosyltransferases (GTs)","GT2_Glyco_tranf_2;PL7",1
"34","Glycosyltransferases (GTs)","GT2_Glycos_transf",3
"35","Glycosyltransferases (GTs)","GT3",1
"36","Glycosyltransferases (GTs)","GT31",2
"37","Glycosyltransferases (GTs)","GT32",1
"38","Glycosyltransferases (GTs)","GT33",1
"39","Glycosyltransferases (GTs)","GT35",1
"40","Glycosyltransferases (GTs)","GT39",1
"41","Glycosyltransferases (GTs)","GT4",3
"42","Glycosyltransferases (GTs)","GT43",2
"43","Glycosyltransferases (GTs)","GT47",2
"44","Glycosyltransferases (GTs)","GT49",2
"45","Glycosyltransferases (GTs)","GT50",1
"46","Glycosyltransferases (GTs)","GT57",2
"47","Glycosyltransferases (GTs)","GT59",1
"48","Glycosyltransferases (GTs)","GT62",2
"49","Glycosyltransferases (GTs)","GT64",2
"50","Glycosyltransferases (GTs)","GT66",1
"51","Glycosyltransferases (GTs)","GT69",1
"52","Glycosyltransferases (GTs)","GT71",4
"53","Glycosyltransferases (GTs)","GT8",2
"54","Glycosyltransferases (GTs)","GT90",1
"55","Polysaccharide lyases (PLs)","PL14",2
"56","Polysaccharide lyases (PLs)","PL14;PL36",1
"57","Polysaccharide lyases (PLs)","PL7",5
